AAC,Conference USA,Mid-American,Mountain West,Sun Belt,,,,,,,
UCF,Florida Atlantic,Toledo,Boise State,Troy,,,,,,,
South Florida,Florida International,Central Michigan,Wyoming,Appalachian State,,,,,,,
Temple,Marshall,Northern Illinois,Colorado State,Arkansas State,,,,,,,
Cincinnati,Middle Tennessee,Western Michigan,Utah State,Georgia State,,,,,,,
Connecticut,Western Kentucky,Eastern Michigan,Air Force,New Mexico State,,,,,,,
East Carolina,Old Dominion,Ball State,New Mexico,Louisiana-Lafayette,,,,,,,
Memphis,Charlotte,Akron,Fresno State,Louisiana-Monroe,,,,,,,
Houston,North Texas,Ohio,San Diego State,Idaho,,,,,,,
Navy,Southern Miss,Buffalo,UNLV,South Alabama,,,,,,,
Southern Methodist,UAB,Miami (OH),Nevada,Coastal Carolina,,,,,,,
Tulane,Louisiana Tech,Bowling Green,Hawaii,Georgia Southern,,,,,,,
Tulsa,UTSA,Kent State,San Jose State,Texas State,,,,,,,
,Rice,,,,,,,,,,
,UTEP,,,,,,,,,,
