Name,PC1,PC2,Rnd,cluster_labels_kmeans,cluster_labels_kmeans2,cluster_labels_kmeans3
Robert Turbin,1.8567223113995348,1.8036397650971783,4,6,0,0
Kerwynn Williams,-0.5054180338411847,3.3147583028907444,7,6,0,1
Ryan Williams,-2.076666504239206,-3.3083849782828993,2,3,1,1
Le'Ron McClain,-2.4583191429286457,0.6583681435467525,4,0,1,1
Glen Coffee,-0.1511626702863316,-1.763492797030033,3,5,2,0
Mark Ingram,2.706266823511391,-0.9111213769907934,1,1,2,0
Trent Richardson,2.7938228092777466,-0.5516325521779256,1,1,2,0
Eddie Lacy,1.0379650428160025,-1.092913847969781,2,5,2,0
Brian Leonard,-0.019300878629917046,-0.3041323554394282,2,2,2,0
Ray Rice,3.502348878770549,-3.079175860820457,2,5,2,0
Chris Henry,-1.633305304831538,-2.5095774895449128,2,3,1,1
Ka'Deem Carey,3.3925248369493177,0.9709733194706079,4,1,0,0
Doug Martin,3.670860027268812,-1.02754325289741,1,1,2,0
Dwayne Wright,-1.7503981250713798,-1.4884823588787168,4,3,1,1
Ryan Mathews,0.3185165420199415,-2.4487247528523497,1,5,2,0
Kevin Smith,3.4442117081072037,-2.4227551613275033,3,5,2,0
Latavius Murray,-0.2876808638134075,2.2589958264983583,6,6,0,1
Isaiah Pead,2.996442818724716,0.3961551234742655,2,1,2,0
James Davis,1.5909781041385334,1.3019856393716374,6,6,0,0
C.J. Spiller,5.075211051048943,0.7226976115823899,1,1,2,0
Andre Ellington,1.0354969402884262,1.43225954657288,6,6,0,0
Jamie Harper,-0.59710897649924,0.4427910865224837,4,2,1,1
Donald Brown,2.135133484788303,-3.6784460449921457,1,5,2,0
Anthony Sherman,-3.522036040486718,0.9414698568438936,5,0,1,1
Jordan Todman,-0.2219246144464915,0.8242871477701613,6,2,0,1
Chris Johnson,3.251014557968695,-0.49717435048859926,1,1,2,0
Brandon Jackson,-3.1375200336802473,-2.3367317647867707,2,3,1,1
Lorenzo Booker,-0.2121782797269852,-0.2665797449777566,3,2,2,1
Leon Washington,-2.9899152033870284,-1.0634498601664497,4,3,1,1
Chris Thompson,-1.2362127231073614,0.6568242806274756,5,2,1,1
Devonta Freeman,0.3995744069550651,0.32624483859182135,4,2,2,0
Reagan Maui'a,-4.6806820466123344,-0.02033154956632103,6,0,1,1
Alex Green,0.1443223643259944,0.09608549384894699,3,2,2,0
James White,-0.7887085242243357,-0.17253643712371047,4,2,1,1
John Conner,-3.7712969363903928,0.016096059792812596,5,0,1,1
Joseph Addai,-1.168896690118015,-3.0599643959624143,1,3,2,1
Quinn Johnson,-4.33029116028127,0.711006316896223,5,0,1,1
Stevan Ridley,-1.4673995907592763,-1.6261954676987127,3,3,1,1
Spencer Ware,-2.2245357752304438,1.6839986765241297,6,0,1,1
Alfred Blue,-2.959024893870987,0.5635038667674924,6,0,1,1
Jeremy Hill,-0.3702622948289125,-1.6289997346353757,2,2,2,1
Ahmad Bradshaw,0.14265384218212726,2.026343331397194,7,6,0,1
Da'Rel Scott,-0.13855731544653074,2.4126649728386753,7,6,0,1
Mike James,-1.2561794912893538,2.5457566159718032,6,6,0,1
Lamar Miller,-1.3673439666942295,-0.6560385576907578,4,2,1,1
Storm Johnson,-1.1628152236173537,2.3186904804210036,7,6,0,1
Laurence Maroney,-1.07628697421476,-3.503361014821041,1,3,2,1
Lex Hilliard,-5.65253267310279,-0.8935730594145433,6,0,1,1
Johnny White,-1.7336973126092592,0.34015187224899973,5,2,1,1
Giovani Bernard,2.0738852522434943,0.3051301789067778,2,1,2,0
Theo Riddick,0.022222146604072353,4.325268844053668,6,6,0,1
Adrian Peterson,0.7877022568106018,-3.740022373789798,1,5,2,0
DeMarco Murray,5.603926641005584,3.8073356578407727,3,4,0,0
Jonathan Stewart,1.9440944296530847,-2.6311269946511744,1,5,2,0
LaMichael James,4.778919014564154,-1.1835627130921966,2,1,2,0
Kenjon Barner,1.3319572480540338,2.2663544965875357,6,6,0,0
De'Anthony Thomas,3.110299854742929,4.681535244935406,4,4,0,0
LaRod Stephens-Howling,-2.11528439661603,1.5000048429299584,7,0,1,1
Rashad Jennings,-4.986659916675835,0.2951545938173245,7,0,1,1
LeSean McCoy,2.946116890039205,-0.14524465270779016,2,1,2,0
Dion Lewis,0.8331567528535272,1.7717251664759297,5,6,0,0
Ronnie Hillman,1.3298754835197732,-1.3182613073631415,3,5,2,0
Reggie Bush,-0.06596588426985361,-2.0397590346258427,1,5,2,0
LenDale White,-1.2839318267227309,-2.055241625099799,2,3,1,1
Chauncey Washington,-2.1997307112488502,0.45271793927053156,7,0,1,1
Allen Bradford,-2.0000442632371733,0.8638122267229706,6,0,1,1
Stanley Havili,-0.1749977087625053,6.585890039889844,7,6,0,1
Joe McKnight,0.7012803324188858,0.5377837171811034,4,2,0,0
Rhett Ellison,-4.828591862469146,-0.27234016692211366,4,0,1,1
Wali Lundy,-4.045726620849851,-0.15751808373152193,6,0,1,1
Jason Snelling,-2.4996162744672095,1.9064104598290883,7,0,1,1
Cedric Peerman,-1.729605304000015,0.6666087428223707,6,2,1,1
Tommy Bohanon,-3.19430084475572,3.7371012730837467,7,0,1,1
Bishop Sankey,2.8330138104904927,-1.3449333745640433,2,1,2,0
Ryan Torain,-1.8214268761563142,0.039910633671429725,5,2,1,1
Marion Grice,0.005213949079542635,4.2924951409762695,6,6,0,1
Roy Helu,1.3754592062105295,-0.15507867304096523,4,1,2,0
Rex Burkhead,0.8651406048770709,1.957140066828994,6,6,0,0
Baron Batch,1.2762124778536412,4.279006226106281,7,6,0,0
David Wilson,1.0286115818377815,-2.115794264563256,1,5,2,0
Brian Calhoun,-0.36407278814738847,-0.8291948205842793,3,2,2,1
Bradie Ewing,-4.0934382484976926,1.1912713046110923,5,0,1,1
Montee Ball,4.883548380908403,-0.46589862986585284,2,1,2,0
Felix Jones,1.5344292331722402,-2.3119549390361303,1,5,2,0
Darren McFadden,3.9117204122368,-3.463651977861956,1,5,2,0
Knile Davis,0.4310169945693635,-0.7691586548388871,3,2,2,0
Ben Tate,1.7490663702941518,-2.719165670257646,2,5,2,0
Tre Mason,1.2475153961206598,-1.157935259518767,3,5,2,0
Andre Williams,0.7308739962943214,-1.4471017805905937,4,5,2,0
James Starks,3.351863271685895,2.0980281519109987,6,1,0,0
Justin Forsett,-0.19450387874076783,1.0128336590727736,7,2,0,1
Marshawn Lynch,1.616769963010491,-2.7938613003622113,1,5,2,0
Shane Vereen,2.574421808716425,-0.33580691522433515,2,1,2,0
Jahvid Best,2.15700897955474,-1.2894077448911567,1,5,2,0
DeShawn Wynn,-3.14524523336603,1.084660305815919,7,0,1,1
Chris Rainey,1.093452381303875,3.1761261431476906,5,6,0,0
Mike Gillislee,-1.6353353233243713,0.1829063412773642,5,2,1,1
Tashard Choice,1.0485736326621795,-1.2237703404801217,4,5,2,0
Jonathan Dwyer,-0.1833482552340146,0.9389648566026692,6,2,0,1
Anthony Allen,-2.1737759863472905,1.920949590162888,7,0,1,1
Knowshon Moreno,2.200854809836977,-1.4278055065667372,1,5,2,0
Shaun Chapas,-4.249831187690477,2.51347260726119,7,0,1,1
Charles Sims,6.787009086090035,5.553443411189769,3,4,0,0
Rashard Mendenhall,1.591026131568186,-2.2772473398451796,1,5,2,0
Mikel LeShoure,0.5087755781058313,-0.7082083389626146,2,2,2,0
Shonn Greene,-1.2600882516141474,-2.4716762910432415,3,3,1,1
Daniel Thomas,2.356372486663843,-1.3641356008330097,2,5,2,0
Michael Bush,-1.3832253156345031,-0.6819554139161262,4,2,1,1
Kolby Smith,-1.5803893714335722,0.17651055750313954,5,2,1,1
Bilal Powell,0.20428696902748986,0.04885992352195732,4,2,2,0
DeAngelo Williams,-0.8919121116751058,-3.9457715039760304,1,3,2,1
Javon Ringer,2.4328925490514273,1.1007825791141796,5,1,0,0
Edwin Baker,-1.4392186066123742,1.0947008025435514,7,2,1,1
Le'Veon Bell,2.3542558448766417,-0.5953082714758725,2,1,2,0
Michael Hart,0.01105736242810999,0.2318032073798117,6,2,2,0
Michael Cox,-3.859639301878351,1.083218477908699,7,0,1,1
Jerious Norwood,-2.5584811606238733,-2.151086628757775,3,3,1,1
Anthony Dixon,2.565982528055544,0.43754236911648514,6,1,2,0
Vick Ballard,-0.64912182219274,0.6530263823917655,5,2,1,1
Garrett Wolfe,1.3038584864980305,-1.1431729312881955,3,5,2,0
